Country Name,Country Code,Series Name,Series Code,1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
Argentina,ARG,General government final consumption expenditure (% of GDP),NE.CON.GOVT.ZS,13.1532327349931,12.5891776401825,9.42009472768441,9.01540997692467,11.1661116654098,11.0078459559273,..,..,..,..,..,..,..,4.7144944990421,4.32191028434568,4.49439596541391,3.13542839161188,3.32176128752774,2.97553802761558,13.5103784728742,13.1869043660659,13.3494556774505,12.5016776609201,12.0620142457633,12.4947749986829,13.7232114149469,13.7841913064131,14.1562743129569,12.235247296692,11.4380567929249,11.114636067696,12.1418612359575,12.4294153726307,12.9893238963619,13.6335132595631,15.903896746884,15.1637178886417,15.6889565165983,16.6454378106252,16.8062377968797,16.9498757371062,18.098379759087,17.6545781863509,17.6968939223042,15.8050971558947,16.4432415862976,16.8730073837365,15.9158179423023,15.8356571842994,16.3874689950096
Argentina,ARG,Trade (% of GDP),NE.TRD.GNFS.ZS,13.1915798576321,11.8027242947756,15.0968846242519,16.942286567935,14.3237963724369,12.8406846411368,11.5456724606844,14.2929774788834,15.6114860999886,14.9876701068591,12.3463814292217,18.009425070688,14.4860327921395,15.448969882952,15.743458608705,19.6377977018838,14.9908589999441,13.7530541588891,14.730980586353,16.223151447784,18.1343458669981,19.7714230903755,21.5064684057215,23.3361788437439,23.3500279730689,21.3827449624898,22.6224447777343,21.8522554515453,41.7527243585642,40.6447480311085,40.692646108947,40.5512709706238,40.4334798719151,40.945170618571,40.4026733790382,34.0571269054879,34.9710132635696,35.2061549999644,30.5265423717108,29.3339290021037,28.4067936452275,22.4862260889792,26.0938878488799,25.2896011376779,30.7625359549926,32.6306150458499,30.203698807416,33.078689567466,31.5477080051071,26.6405121334437
Argentina,ARG,Consumer price index (2010 = 100),FP.CPI.TOTL,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Argentina,ARG,""Inflation, GDP deflator (annual %)"",NY.GDP.DEFL.KD.ZG,30.630441370412,197.697364543187,438.322779739816,159.42717769645,161.372172004157,147.377044034473,95.7904246128352,105.276366380064,194.535299663443,380.158528521919,611.196303891913,607.447497830085,77.2922366864133,127.539918059086,381.24634440952,3046.09115201119,2078.31681806978,140.502378661012,16.0719935356945,-3.56109557576575,2.84933971509302,3.16512339016516,-0.0523754965904146,-0.46391313116429,-1.70527962400085,-1.83655839220664,1.03728710073175,-1.09576771833679,30.555204053903,10.4957030215496,18.3633542492033,10.3175111982406,13.7410524859152,14.9399250245835,23.1711649813124,15.3776493708921,20.915124272047,23.7034721839593,22.3148806733049,23.9487984162746,40.2829716315506,26.5799916024707,41.1193799882279,26.0063792819079,42.0336689575031,49.1955790596612,40.0830878011993,53.8020877665554,69.8760842459268,135.368876310592"
"Argentina,ARG,""Inflation, consumer prices (annual %)"",FP.CPI.TOTL.ZG,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,.."
Argentina,ARG,Account ownership at a financial institution or with a mobile-money-service provider (% of population ages 15+),FX.OWN.TOTL.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,33.13,..,..,50.2,..,..,48.71,..,..,..,71.63,..,..
Australia,AUS,General government final consumption expenditure (% of GDP),NE.CON.GOVT.ZS,14.445935424018,16.7915684293252,17.8766391918319,17.4564731562809,17.8328367869483,17.3620876946267,17.2144056338865,17.809792596482,17.7391106562038,18.6522643521598,18.3164633375918,19.2464639516269,19.4250119789171,19.3664750703645,18.4585097140322,17.7834799608993,17.6415791333398,18.63184151474,19.4960782460782,19.3760425366196,18.8128593686042,18.6412716851603,18.5846429563925,18.2705936245318,18.262337926821,18.7307315614009,18.5380745283503,18.5426391217441,18.3484346536303,18.4107243359548,18.3022813622208,18.3815949567882,18.3072975284743,18.1722516420682,18.0939091867019,18.4307470583246,18.8355329435523,18.6655613196208,18.8983020353986,18.853734962801,18.7777654809849,19.1888755144951,19.9735933226935,19.9482833661896,20.0168291219813,20.3713413159323,21.8946914788236,22.4227187171293,22.0784275525044,21.3138550807727
Australia,AUS,Trade (% of GDP),NE.TRD.GNFS.ZS,26.3224160495668,28.9701919838329,26.8629497654441,28.6305285588067,28.1775002617577,29.6236726651116,32.2982750679721,31.6034392228931,30.3246900943933,29.1752457579693,28.5400083297066,32.4883334819514,33.0085289889794,32.5101443607132,32.5649604722381,32.0650048875855,32.1527144597396,32.1891884083095,33.0445567945568,35.3995349245547,36.4588088303684,37.7040452075846,38.2330533547335,37.9808322779409,39.9927024641912,39.0297954188357,40.9352109785505,44.2187044989977,41.4490922022193,40.2015669125448,37.0096135930442,39.1607469727979,41.5594471705758,42.0080200326348,42.8467764017331,45.7408630288694,40.5215889941287,41.851132029052,43.1642964994556,41.2728790174276,42.4840230270994,41.6639319280984,40.974079475775,42.2037316765804,43.7360650798433,46.1875018936291,44.6644560654359,40.3024802691697,45.8217702307271,49.2251840594381
Australia,AUS,Consumer price index (2010 = 100),FP.CPI.TOTL,14.4120707596254,16.5972944849116,18.8085327783559,21.1238293444329,22.8147762747138,24.8959417273673,27.4193548387097,30.0208116545265,33.4287200832466,36.7845993756504,38.2414151925078,40.8168574401665,44.5109261186264,48.309053069719,51.7950052029136,55.6971904266389,59.7814776274714,61.6805411030177,62.3048907388137,63.3975026014568,64.6462018730489,67.6378772112383,69.4068678459938,69.5629552549428,70.1612903225807,71.2018730489074,74.375650364204,77.6534859521332,79.9687825182102,82.1540062434964,84.0790842872008,86.3423517169615,89.4120707596254,91.4932362122789,95.4734651404787,97.1644120707596,100,103.303850156087,105.124869927159,107.700312174818,110.379812695109,112.044745057232,113.475546305931,115.686784599376,117.89802289282,119.797086368366,120.811654526535,124.271592091571,132.466181061394,139.880332986472
"Australia,AUS,""Inflation, GDP deflator (annual %)"",NY.GDP.DEFL.KD.ZG,16.3775623167018,16.4897877086073,14.0198687822264,11.4186605819591,8.23618363096672,8.63443123752833,10.0165696784018,9.52478964604649,11.7092329249508,10.1575581386061,7.86300441854821,4.68070643690324,6.54751099766295,7.03173832337612,7.1742599600064,9.23190922376165,6.09458983592408,3.02017557973888,1.47902574629622,0.867377619434805,1.01880233824261,2.28914316458206,2.71144222672184,1.27279080728206,1.13564190464284,0.475365976445929,2.5507652827131,4.63074057685395,2.84035444214652,2.98554508941196,3.23229936195307,3.82548066795754,5.11533977799769,4.98605173231132,4.56978290693471,4.94917908012782,1.15377249328591,6.20197668065047,1.8056989221342,-0.163600551424906,1.40539601622476,-0.623858470510584,-0.663157619625991,3.65318441813451,1.86901478899458,3.46820261012924,1.88550119010648,3.0799498600023,7.17553361510235,6.51199894950456"
